Person_ID,Rank,Chair_Index,Chair_Name,Matching_Score,Conditions_Met
할머니,1,32,Chair_32,0.01482143,No
할머니,2,48,Chair_48,0.014819647,No
할머니,3,47,Chair_47,0.014819429,No
할머니,4,66,Chair_66,0.014815429,No
할머니,5,67,Chair_67,0.014815364,No
다온,1,93,Chair_93,0.0031217397,No
다온,2,92,Chair_92,0.0030964368,No
다온,3,97,Chair_97,0.0010050994,No
다온,4,104,Chair_104,0.00062256877,No
다온,5,105,Chair_105,0.0006224094,No
민아,1,93,Chair_93,0.0010746712,No
민아,2,97,Chair_97,0.00091164885,No
민아,3,92,Chair_92,0.00078892836,No
민아,4,101,Chair_101,0.00024494054,No
민아,5,105,Chair_105,0.00011885711,No
재원,1,92,Chair_92,0.0035462026,No
재원,2,93,Chair_93,0.0035258252,No
재원,3,105,Chair_105,0.0034252612,No
재원,4,104,Chair_104,0.003420314,No
재원,5,97,Chair_97,0.0005213964,No
