person,person_idx,rank,chair_idx,predicted_score,actual_score
test10,0,1,99,0.55475235,0.3333333333333333
test10,0,2,10,0.54154164,0.16666666666666666
test10,0,3,7,0.53284496,0.16666666666666666
test10,0,4,67,0.5295057,0.16666666666666666
test10,0,5,95,0.5248528,0.3333333333333333
test11,1,1,99,0.555493,0.3333333333333333
test11,1,2,91,0.5420159,0.3333333333333333
test11,1,3,10,0.5396296,0.3333333333333333
test11,1,4,7,0.5319653,0.3333333333333333
test11,1,5,95,0.51103055,0.16666666666666666
test12,2,1,53,0.54664,0.3333333333333333
test12,2,2,99,0.5190799,0.16666666666666666
test12,2,3,10,0.51573646,0.3333333333333333
test12,2,4,67,0.5147117,0.3333333333333333
test12,2,5,5,0.51029927,0.3333333333333333
test13,3,1,99,0.5533229,0.3333333333333333
test13,3,2,67,0.5404707,0.3333333333333333
test13,3,3,60,0.5366932,0.5
test13,3,4,10,0.5264762,0.5
test13,3,5,7,0.52054894,0.3333333333333333
test14,4,1,95,0.5349053,0.16666666666666666
test14,4,2,10,0.53315145,0.16666666666666666
test14,4,3,7,0.5321895,0.0
test14,4,4,99,0.5259008,0.16666666666666666
test14,4,5,60,0.5247378,0.16666666666666666
test15,5,1,99,0.5609349,0.3333333333333333
test15,5,2,60,0.51849645,0.3333333333333333
test15,5,3,6,0.5159351,0.5
test15,5,4,10,0.51347196,0.3333333333333333
test15,5,5,95,0.5116282,0.3333333333333333
test16,6,1,99,0.5694774,0.3333333333333333
test16,6,2,7,0.5340133,0.16666666666666666
test16,6,3,95,0.5278455,0.16666666666666666
test16,6,4,91,0.5222552,0.16666666666666666
test16,6,5,67,0.51436126,0.16666666666666666
test17,7,1,99,0.53807056,0.16666666666666666
test17,7,2,67,0.5352541,0.16666666666666666
test17,7,3,95,0.5296321,0.16666666666666666
test17,7,4,5,0.52464676,0.16666666666666666
test17,7,5,10,0.5171294,0.16666666666666666
test18,8,1,99,0.56791764,0.3333333333333333
test18,8,2,5,0.53189695,0.3333333333333333
test18,8,3,67,0.52146536,0.3333333333333333
test18,8,4,7,0.5207436,0.3333333333333333
test18,8,5,10,0.51920545,0.3333333333333333
test19,9,1,95,0.5567273,0.16666666666666666
test19,9,2,99,0.54572815,0.3333333333333333
test19,9,3,10,0.5430367,0.3333333333333333
test19,9,4,67,0.52384514,0.3333333333333333
test19,9,5,60,0.51652104,0.3333333333333333
test20,10,1,95,0.5441867,0.3333333333333333
test20,10,2,91,0.5352544,0.5
test20,10,3,7,0.5321795,0.5
test20,10,4,60,0.52936995,0.5
test20,10,5,10,0.52767396,0.5
test21,11,1,99,0.5764981,0.3333333333333333
test21,11,2,95,0.54102737,0.5
test21,11,3,10,0.53772324,0.5
test21,11,4,67,0.51426446,0.5
test21,11,5,96,0.5034726,0.5
test22,12,1,91,0.54778785,0.3333333333333333
test22,12,2,10,0.5304652,0.5
test22,12,3,95,0.53010607,0.3333333333333333
test22,12,4,7,0.52972656,0.5
test22,12,5,5,0.5266818,0.5
test23,13,1,99,0.57057166,0.16666666666666666
test23,13,2,95,0.5205155,0.16666666666666666
test23,13,3,60,0.517117,0.16666666666666666
test23,13,4,7,0.5156191,0.16666666666666666
test23,13,5,91,0.51002187,0.16666666666666666
