이름,매칭의자수,5개조건,4개조건,3개조건,2개조건,1개조건,최고점수
test10,95,0,13,41,31,10,82.22777955466496
test11,95,0,7,35,37,16,61.15787864752132
test12,94,0,8,40,35,11,76.66152009716093
test13,95,0,1,41,39,14,66.68872820584556
test14,90,0,8,25,31,26,88.5099037947372
test15,95,14,32,26,20,3,100.95439750650544
test16,91,0,2,19,49,21,77.2882536953355
test17,95,5,22,35,20,13,92.32257484843811
test18,95,0,11,37,37,10,73.72265492206614
test19,95,2,27,31,27,8,74.9359236779702
test20,95,3,30,40,19,3,87.13373800343477
test21,95,36,31,14,13,1,97.94385713765062
test22,95,2,33,32,23,5,77.79894907967011
test23,95,1,4,58,18,14,91.82558877317845
할머니,95,4,42,34,6,9,96.9
다온,95,1,7,52,24,11,71.7
민아,94,0,16,37,28,13,86.9
재원,95,4,9,53,20,9,93.8
